case_id,family,p,m,alternatives,expected_class,observed_class,structured_status,structured_budget,structured_margin,structured_oracle_calls,structured_rows,explicit_status,explicit_budget,explicit_oracle_calls,full_status,full_budget,classification_agreement,budget_agreement,scale_invariant,structured_time_ns,explicit_time_ns,full_time_ns,domain_fraction_inspected,instance_digest,protocol_sha256
explicit-p2-harmless-s101,explicit,2,1,7,harmless,harmless,STRICTLY_CERTIFIED,0,7/20,1,0,STRICTLY_CERTIFIED,0,1,STRICTLY_CERTIFIED,0,True,True,True,148645,62524,2191764,0.0,sha256:5ebc89f1ed56edd51ec1332207830a2bb56ee5ae7bee072ae5b43c6bcf30a892,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-harmless-s102,explicit,2,1,7,harmless,harmless,STRICTLY_CERTIFIED,0,13/24,1,0,STRICTLY_CERTIFIED,0,1,STRICTLY_CERTIFIED,0,True,True,True,73621,55063,1195295,0.0,sha256:905e526267087e066631730d35f2504a64eef20b538accb0081bcd126db63aa8,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-harmless-s103,explicit,2,1,7,harmless,harmless,STRICTLY_CERTIFIED,0,9/14,1,0,STRICTLY_CERTIFIED,0,1,STRICTLY_CERTIFIED,0,True,True,True,75624,64798,1233552,0.0,sha256:a02da7d6fe1f1eeccf90646db849ee404fb2a47f545f71f7debceb86a909477a,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-harmless-s104,explicit,2,1,7,harmless,harmless,STRICTLY_CERTIFIED,0,1/2,1,0,STRICTLY_CERTIFIED,0,1,STRICTLY_CERTIFIED,0,True,True,True,73120,55474,1242196,0.0,sha256:36c14a2b5274ee7e4482ee73f8af2ca9d5ee69f869e4c98cbf09f124cb33d99e,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-harmless-s105,explicit,2,1,7,harmless,harmless,STRICTLY_CERTIFIED,0,31/70,1,0,STRICTLY_CERTIFIED,0,1,STRICTLY_CERTIFIED,0,True,True,True,69385,56305,1256557,0.0,sha256:d0743750796fb9e1af453437192cdf94d4437f01d66eba8d88277094bfeba60e,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-repairable-s101,explicit,2,1,7,repairable,repairable,CERTIFIED_MINIMUM_BUDGET,1/2,0,3,2,CERTIFIED_MINIMUM_BUDGET,1/2,3,CERTIFIED_MINIMUM_BUDGET,1/2,True,True,True,2425883,2437460,1263537,0.3333333333333333,sha256:87a86d080f9e7c7a21ae94017ecd2f514361e743f328a239d605ae8914e317d3,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-repairable-s102,explicit,2,1,7,repairable,repairable,CERTIFIED_MINIMUM_BUDGET,3/13,0,3,2,CERTIFIED_MINIMUM_BUDGET,3/13,3,CERTIFIED_MINIMUM_BUDGET,3/13,True,True,True,2773237,2574206,1408066,0.3333333333333333,sha256:8403ae64ed67ad2dfb8890be98f63b429eff74d076d467a10f486318a53d1a24,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-repairable-s103,explicit,2,1,7,repairable,repairable,CERTIFIED_MINIMUM_BUDGET,2/13,0,3,2,CERTIFIED_MINIMUM_BUDGET,2/13,3,CERTIFIED_MINIMUM_BUDGET,2/13,True,True,True,2573736,2613726,1357940,0.3333333333333333,sha256:36d280f316669853f63641ee75844be65f0e4ede6ec850b878de8573a9537c6d,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-repairable-s104,explicit,2,1,7,repairable,repairable,CERTIFIED_MINIMUM_BUDGET,2/7,0,3,2,CERTIFIED_MINIMUM_BUDGET,2/7,3,CERTIFIED_MINIMUM_BUDGET,2/7,True,True,True,2508427,2443309,1361405,0.3333333333333333,sha256:82ab34c7da082f2df84efe81606cb3189a391393a5f4657c0327085e5a25cccb,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-repairable-s105,explicit,2,1,7,repairable,repairable,CERTIFIED_MINIMUM_BUDGET,2/5,0,3,2,CERTIFIED_MINIMUM_BUDGET,2/5,3,CERTIFIED_MINIMUM_BUDGET,2/5,True,True,True,2480165,2453704,1431982,0.3333333333333333,sha256:57338b7619dc1c168209b7ec5df64ca49d922b0ff526299e3d903f3d49b35ac6,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-irreparable-s101,explicit,2,1,7,irreparable,irreparable,IRREPARABLE_DOMAIN,,,2,2,IRREPARABLE_DOMAIN,,2,IRREPARABLE_DOMAIN,,True,True,True,3190607,3169995,2570370,0.3333333333333333,sha256:ba8be018e3ae299c01171aab940dd44b4bc9322a72bc31272c083f63cd7a7c5a,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-irreparable-s102,explicit,2,1,7,irreparable,irreparable,IRREPARABLE_DOMAIN,,,2,2,IRREPARABLE_DOMAIN,,2,IRREPARABLE_DOMAIN,,True,True,True,3233962,3120531,2650411,0.3333333333333333,sha256:949a0e5199a1945fc834cfcde20667d1d06b0e6819afbba3757ed7007a8fd521,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
explicit-p2-irreparable-s103,explicit,2,1,7,irreparable,irreparable,IRREPARABLE_DOMAIN,,,2,2,IRREPARABLE_DOMAIN,,2,IRREPARABLE_DOMAIN,,True,True,True,3848209,3339221,2658454,0.3333333333333333,sha256:a22d064f331e1dcd6790f52022b560399c562cfc40e6e73ab35ba265445de958,d7e0a1351722e8bc41a9ac64617b455bad30125c016ed52916c95804ba065aaa
