case_id,family,p,budget,full_value,structured_value,explicit_value,agreement,structured_oracle_calls,structured_rows
explicit-p2-harmless-s101,explicit,2,0,3/7,3/7,3/7,True,3,2
explicit-p2-harmless-s101,explicit,2,1/4,3/7,3/7,3/7,True,3,2
explicit-p2-harmless-s101,explicit,2,1,3/7,3/7,3/7,True,3,2
explicit-p2-harmless-s102,explicit,2,0,13/24,13/24,13/24,True,3,2
explicit-p2-harmless-s102,explicit,2,1/4,13/24,13/24,13/24,True,3,2
explicit-p2-harmless-s102,explicit,2,1,13/24,13/24,13/24,True,3,2
explicit-p2-harmless-s103,explicit,2,0,41/56,41/56,41/56,True,3,2
explicit-p2-harmless-s103,explicit,2,1/4,83/112,83/112,83/112,True,4,3
explicit-p2-harmless-s103,explicit,2,1,83/112,83/112,83/112,True,4,3
explicit-p2-harmless-s104,explicit,2,0,25/49,25/49,25/49,True,3,2
explicit-p2-harmless-s104,explicit,2,1/4,25/49,25/49,25/49,True,3,2
explicit-p2-harmless-s104,explicit,2,1,25/49,25/49,25/49,True,3,2
explicit-p2-harmless-s105,explicit,2,0,19/39,19/39,19/39,True,3,2
explicit-p2-harmless-s105,explicit,2,1/4,19/39,19/39,19/39,True,3,2
explicit-p2-harmless-s105,explicit,2,1,19/39,19/39,19/39,True,3,2
explicit-p2-repairable-s101,explicit,2,0,-1/8,-1/8,-1/8,True,3,2
explicit-p2-repairable-s101,explicit,2,1/4,-1/16,-1/16,-1/16,True,3,2
explicit-p2-repairable-s101,explicit,2,1/2,0,0,0,True,3,2
explicit-p2-repairable-s101,explicit,2,11/10,1/16,1/16,1/16,True,4,3
explicit-p2-repairable-s102,explicit,2,0,-1/13,-1/13,-1/13,True,3,2
explicit-p2-repairable-s102,explicit,2,3/26,-1/26,-1/26,-1/26,True,3,2
explicit-p2-repairable-s102,explicit,2,3/13,0,0,0,True,3,2
explicit-p2-repairable-s102,explicit,2,73/130,43/390,43/390,43/390,True,3,2
explicit-p2-repairable-s103,explicit,2,0,-1/13,-1/13,-1/13,True,3,2
explicit-p2-repairable-s103,explicit,2,1/13,-1/26,-1/26,-1/26,True,3,2
explicit-p2-repairable-s103,explicit,2,2/13,0,0,0,True,3,2
explicit-p2-repairable-s103,explicit,2,53/130,33/260,33/260,33/260,True,3,2
explicit-p2-repairable-s104,explicit,2,0,-1/14,-1/14,-1/14,True,3,2
explicit-p2-repairable-s104,explicit,2,1/7,-1/28,-1/28,-1/28,True,3,2
explicit-p2-repairable-s104,explicit,2,2/7,0,0,0,True,3,2
explicit-p2-repairable-s104,explicit,2,47/70,27/280,27/280,27/280,True,3,2
explicit-p2-repairable-s105,explicit,2,0,-1/10,-1/10,-1/10,True,3,2
explicit-p2-repairable-s105,explicit,2,1/5,-1/20,-1/20,-1/20,True,3,2
explicit-p2-repairable-s105,explicit,2,2/5,0,0,0,True,3,2
explicit-p2-repairable-s105,explicit,2,9/10,1/20,1/20,1/20,True,4,3
explicit-p3-harmless-s101,explicit,3,0,6/11,6/11,6/11,True,3,2
explicit-p3-harmless-s101,explicit,3,1/4,67/109,67/109,67/109,True,6,5
explicit-p3-harmless-s101,explicit,3,1,67/109,67/109,67/109,True,4,3
explicit-p3-harmless-s102,explicit,3,0,11/21,11/21,11/21,True,5,4
explicit-p3-harmless-s102,explicit,3,1/4,299/539,299/539,299/539,True,5,4
explicit-p3-harmless-s102,explicit,3,1,299/539,299/539,299/539,True,5,4
explicit-p3-harmless-s103,explicit,3,0,167/377,167/377,167/377,True,4,3
explicit-p3-harmless-s103,explicit,3,1/4,167/377,167/377,167/377,True,4,3
